,Close,upEWM,downEWM,RSI,stochrsi,stochrsi_K
99,712.3,,,,,
98,720.1,,,,,
97,708.15,,,,,
96,704.4,,,,,
95,691.35,,,,,
94,705.3,,,,,
93,703.9,,,,,
92,705.2,,,,,
91,712.85,,,,,
90,713.0,,,,,
89,713.25,,,,,
88,693.2,,,,,
87,698.1,,,,,
86,690.6,,,,,
85,695.75,2.9392857142857127,4.121428571428567,41.62873039959536,,
84,701.85,3.1650510204081637,3.827040816326526,45.26615345324532,,
83,696.35,2.9389759475218664,3.9465379008746315,42.68346578383974,,
82,692.7,2.7290490941274475,3.9253566222407277,41.01116178435993,,
81,698.35,2.9376884445469136,3.64497400636639,44.627663448538634,,
80,708.85,3.4778535556507055,3.3846187201973623,50.679309377915274,,
79,714.85,3.6580068731042266,3.142860240183265,53.787359937635536,,
78,715.1,3.414577810739639,2.918370223027318,53.91766666224456,,
77,717.25,3.3242508242582347,2.7099152070967953,55.0904765792754,,
76,714.55,3.086804336811218,2.709206978018456,53.257389765843286,,
75,721.05,3.3306040270389885,2.5156921938742807,56.96947094683314,,
74,702.1,3.0927037393933468,3.689571322883256,45.599798165001296,,
73,711.3,3.528939186579531,3.426030514105881,50.73982114158966,,
72,714.0,3.469729244680997,3.1813140488126037,52.16819514729769,0.6991363088248784,
71,729.7,4.343320012918072,2.954077331040275,59.51875453943848,1.0,
70,732.45,4.229511440566781,2.743071807394541,60.65917451474568,1.0,0.8997121029416261
69,730.85,3.9274034805262965,2.6614238211520758,59.60701807324451,0.9464497272096123,0.9821499090698708
